Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Anul Fact Kilos;Dev Irrecup Kilos;Dev Reparto Kilos
YERBA MATE TRADICIONA;Yerba Mate;Canal Inexistente;2018;Febrero;49228;24533;940;940;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2018;Abril;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2018;Mayo;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2018;Junio;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2018;Julio;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2018;Agosto;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2018;Septiembre;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2019;Marzo;0;30615;0;800;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2019;Abril;74496;0;800;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2019;Mayo;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2019;Junio;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2019;Julio;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2019;Agosto;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2019;Septiembre;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2020;Noviembre;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2021;Enero;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2021;Febrero;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2021;Marzo;0;0;0;0;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2021;Mayo;0;208835;0;1260;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Canal Inexistente;2021;Junio;0;0;0;-1260;0;0;0
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2017;Enero;40507194;18106015;946284;787027;0;3022;2536
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2017;Febrero;39547883;26034938;914951;1162251;0;2822;59356
YERBA MATE TRADICIONAL;Yerba Mate;Cadenas de Supermercados;2017;Marzo;56378030;26661692;1259998;1175409;0;1164;5418
